voyageid,departure,purchase,arrival,year,embarked,disembarked
91011.0,Liverpool,"Windward Coast, port unspecified",Kingston,1764.0,187.0,160.0
91015.0,Liverpool,"Windward Coast, port unspecified",Kingston,1766.0,300.0,245.0
91037.0,Liverpool,"Windward Coast, port unspecified","Grenada, port unspecified",1764.0,169.0,150.0
91046.0,Liverpool,"Windward Coast, port unspecified","Dominica, port unspecified",1766.0,227.0,194.0
91048.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1764.0,133.0,118.0
91053.0,Liverpool,"Windward Coast, port unspecified",NA,1763.0,148.0,131.0
91055.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1765.0,148.0,131.0
91058.0,Liverpool,"Windward Coast, port unspecified",Kingston,1764.0,205.0,182.0
91060.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1768.0,214.0,190.0
91069.0,Liverpool,"Windward Coast, port unspecified",Kingston,1764.0,254.0,217.0
91070.0,Liverpool,"Windward Coast, port unspecified",Kingston,1765.0,243.0,208.0
91071.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1766.0,230.0,197.0
91072.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1768.0,299.0,256.0
91073.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1764.0,206.0,183.0
91090.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1763.0,102.0,92.0
91091.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1765.0,102.0,92.0
91092.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1767.0,102.0,92.0
91093.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1763.0,148.0,131.0
91099.0,Liverpool,"Windward Coast, port unspecified","Dominica, port unspecified",1768.0,177.0,157.0
91104.0,Liverpool,"Windward Coast, port unspecified","Grenada, port unspecified",1765.0,241.0,206.0
91119.0,Liverpool,"Windward Coast, port unspecified",Kingston,1765.0,79.0,70.0
91130.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1766.0,109.0,98.0
91136.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1765.0,23.0,20.0
91141.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1767.0,83.0,65.0
91147.0,Liverpool,"Windward Coast, port unspecified","British Caribbean, colony unspecified",1768.0,240.0,205.0
91154.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1765.0,139.0,123.0
91155.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1766.0,129.0,114.0
91159.0,Liverpool,"Windward Coast, port unspecified",Kingston,1765.0,175.0,150.0
91180.0,Liverpool,"Windward Coast, port unspecified",Kingston,1766.0,357.0,296.0
91182.0,Liverpool,"Windward Coast, port unspecified",Charleston,1765.0,273.0,234.0
91195.0,Liverpool,"Windward Coast, port unspecified",Kingston,1765.0,141.0,125.0
91203.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1764.0,192.0,170.0
91206.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1764.0,230.0,197.0
91223.0,Zeeland,"Windward Coast, port unspecified",Annapolis,1768.0,144.0,128.0
91228.0,Liverpool,"Windward Coast, port unspecified","Grenada, port unspecified",1765.0,192.0,164.0
91235.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1774.0,350.0,300.0
91241.0,Whitehaven,"Windward Coast, port unspecified","Jamaica, port unspecified",1766.0,230.0,197.0
91242.0,Whitehaven,"Windward Coast, port unspecified","Jamaica, port unspecified",1767.0,230.0,197.0
91249.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1766.0,204.0,175.0
91252.0,Liverpool,"Windward Coast, port unspecified","Grenada, port unspecified",1766.0,138.0,118.0
91260.0,Liverpool,"Windward Coast, port unspecified",NA,1765.0,348.0,NA
91261.0,Liverpool,"Windward Coast, port unspecified","Grenada, port unspecified",1766.0,139.0,123.0
